business_id,categories,city,latitude,longitude,name,stars
hcRxdDg7DYryCxCoI8ySQA,"Restaurants, Shopping, Shopping Centers",Boston,42.338544,-71.106842,Longwood Galleria,2.5
jGennaZUr2MsJyRhijNBfA,"Sandwiches, Food, Restaurants, Breakfast & Brunch, Seafood, Italian, Beer, Wine & Spirits, Cocktail Bars, Gluten-Free, Nightlife, Bars, Salad",Boston,42.3634422,-71.0257812,Legal Sea Foods,3.5
iPD8BBvea6YldQZPHzVrSQ,"Creperies, Restaurants, Food, Coffee & Tea, Breakfast & Brunch",Boston,42.3426726,-71.0842392,Espresso Minute,4.5
WuoNSCjFBH4OQTSNGc4l6w,"Beauty & Spas, Hair Salons, Active Life, Day Spas",Boston,42.3500045,-71.0819309,Toscana European Day Spa & Salon,4.0
zHMsnpMPanzRx-A6AwGSdw,"Day Spas, Tanning, Hair Stylists, Massage, Spray Tanning, Hair Salons, Nail Salons, Tui Na, Education, Beauty & Spas, Skin Care, Permanent Makeup, Specialty Schools, Traditional Chinese Medicine, Hair Extensions, Health & Medical, Reflexology",Boston,42.352135,-71.0631016,Ecco Beauty Hair Salon,3.5
So4sUPedGUcyEMRAmDRgDw,"Cosmetics & Beauty Supply, Beauty & Spas, Shopping, Specialty Food, Food",Boston,42.3510491,-71.0766553,Sabatino & Co,4.5
lOrIttJhPbvIrZsO4rxyzQ,"Beauty & Spas, Nail Salons",Boston,42.356722,-71.0600302,Bromfield Nails,2.5
LHPzReyrFStB08KwMcyP2w,"Event Planning & Services, Venues & Event Spaces, DJs",Boston,42.3513667,-71.0404909,Boat Cruise Summer Series,3.0
az0DEo7NfL1Y8IKxLD1L_A,"Food, Coffee & Tea",Boston,42.3632133,-71.0248263,Starbucks,1.5
F_q_c_XhuuKMlqvsdZffvA,"Beauty & Spas, Hair Salons",Boston,42.351036,-71.062456,Yen Hair and Beauty,4.0
upY1H63uocaOJm_cBD81ww,"Apartments, Home Services, Real Estate",Boston,42.3655068,-71.0598409,The Victor by Windsor,3.5
UzSEMvN9r3RRNbUTntfZ-A,"Movers, Home Services",Boston,42.36796,-71.05478,2 Young Studs Moving,4.0
loRoCo53b30zgHZ_mIMatQ,"American (New), Nightlife, Breakfast & Brunch, Restaurants, Bars, Event Planning & Services, American (Traditional), Caterers",Boston,42.3418764,-71.055116,Amrheins,3.5
FBNgHrNdA9vlFX5RRK7SQA,"Pest Control, Local Services, Professional Services",Boston,42.3505102,-71.0703984,Ultra Safe Pest Management,4.0
vlY2EbErFb1ytT7bdppqlg,"Beauty & Spas, Hair Salons",Boston,42.3506965637,-71.060295105,Unique 8 Hair Place,3.5
zjWGMm1SGJWeSaDpVVDU4g,"Sports Wear, Sporting Goods, Shopping, Fashion",Boston,42.35083715,-71.0735049032,Modell's Sporting Goods,2.5
-Eg1pMVoWg8YR6-O4QuTxw,"Halal, Persian/Iranian, Restaurants, Middle Eastern, Sandwiches",Boston,42.343415,-71.099013,Fiouna's Persian Fusion Cuisine,4.0
N78TSwxdXeYZaKZsyvkryA,"Restaurants, Sandwiches, Soup, Delis, Food, Ice Cream & Frozen Yogurt",Boston,42.3379247,-71.074729,Code 10,3.5
ABrcH2VyNxv5jrIYfg80dA,"Women's Clothing, Accessories, Shoe Stores, Fashion, Shopping",Boston,42.348812,-71.086375,Madewell,4.0
-3FjSLA_bfyEY_qMT8N27Q,"Fashion, Local Services, Women's Clothing, Leather Goods, Sewing & Alterations, Shopping",Boston,42.3588874,-71.0709245,The Designers Leather Clothiers,3.5
4dOPXv8z_nqB8wBWVVWecA,"Hospitals, Health & Medical, Rehabilitation Center, Doctors",Boston,42.37863615,-71.0488509519,Spaulding Rehabilitation Hospital,4.0
rt1UvC0ao4atDGHOUuAT-g,"Tobacco Shops, Shopping, Wine Bars, Bars, Nightlife, Lounges",Boston,42.337299,-71.031096,Churchill's Lounge,4.0
42bggNbPWdC2_2vWh7w8nw,"Restaurants, Food, Grocery, Delis, Pharmacy, Health & Medical",Boston,42.364992,-71.062266,Star Market,3.5
jabgAFUaXZ9jM_b4vB2wSg,"Shopping, Makeup Artists, Hair Salons, Bridal, Beauty & Spas",Boston,42.351397,-71.0764443,Studio 9,4.5
T948928ZUluvdt9Hs5H6NQ,"Specialty Food, Food, Ice Cream & Frozen Yogurt, Candy Stores, Coffee & Tea, Desserts",Boston,42.3123071,-71.1019004,Wild Pops,4.5
