business_id,categories,city,latitude,longitude,name,stars
jFYIsSb7r1QeESVUnXPHBw,"Breakfast & Brunch, Restaurants",Columbus,39.947006523,-82.997471,Boxwood Biscuit,4.5
i_t_30RYVUDdZzFIcw80NQ,"Books, Mags, Music & Video, Musical Instruments & Teachers, Pawn Shops, Shopping, Videos & Video Game Rental, Jewelry",Columbus,39.9566155,-82.9933017,Uncle Sam's Pawn Shop,4.0
qH6Elr-dW5FgDzu0eWXRIQ,"Oil Change Stations, Tires, Auto Repair, Automotive",Columbus,40.0640720027,-83.0199037492,Goodyear Auto Service,4.0
Gr4-knYkEFGhDehOkaXgxQ,"Coffee & Tea, Food",Columbus,40.054475,-82.913255,Crimson,3.5
ZWhzrcikNsX7-AXqm99U8g,"Automotive, Auto Repair, Wheel & Rim Repair, Tires, Auto Parts & Supplies",Columbus,39.939116,-83.0140231,Bee Line Alignment,2.5
5eq56X-e9YbAKmHgUOyXSg,"Chinese, Restaurants",Columbus,40.0653778,-83.0714151,Hunan Lion,4.0
vecuat0jOia-CJveW3ngDw,"Caterers, Bars, Sandwiches, Pubs, Restaurants, Nightlife, German, Desserts, Food Trucks, Venues & Event Spaces, Food, Event Planning & Services",Columbus,39.9462675588,-82.9910435896,Schmidt's Sausage Haus,4.0
_DyBDaC2ltGxhJJ9PsWS7Q,"Heating & Air Conditioning/HVAC, Appliances, Appliances & Repair, Home & Garden, Local Services, Home Services, Handyman, Lighting Fixtures & Equipment, Shopping",Columbus,40.079599,-82.9587884,Steele's Appliance & Home Repair Service,4.5
ZaMMUcOIngBCgxuKxFzfqg,"Fast Food, Restaurants, Food, Coffee & Tea, Burgers",Columbus,39.919976,-83.1258222,McDonald's,2.0
OojxG51Ha1DiiQYxKoI6RA,"Hair Removal, Waxing, Nail Salons, Hair Salons, Beauty & Spas",Columbus,40.0703377,-82.8641538,Pascarti Hair & Nail Spa,3.0
ZmWg2G1pKlUDV9VkxdNY9A,Public Services & Government,Columbus,39.9576569,-83.0535712,State of Ohio BMV,3.5
xFT6TG7V6w9M8jd4h8mvTA,"Antiques, Fashion, Home Decor, Shopping, Used, Vintage & Consignment, Furniture Stores, Furniture Repair, Home & Garden, Local Services",Columbus,39.9719466,-83.0822311,The Carpenter's Daughter,4.0
