user_id,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,fans,funny,review_count,useful,yelping_since,now_date,acceptance,activation,frequency,subscribe,registeration,W1,W2,Wi,Wj
q_QQ5kBBwlCcbL1s4NVK3g,2541,361,2541,1710,147,163,1212,323,5691,190,815,11291,1357,10030,1220,15038,2005/3/14 20:26,2021/3/31 0:00,,,,,,,,,
dIIKEfOgo0KqUfGQvGikPg,2205,232,2205,1632,96,87,1187,294,3293,94,472,18046,1025,10289,2136,21272,2007/8/10 19:01,2021/3/31 0:00,,,,,,,,,
QJI9OSEn6ujRCtrX06vs1w,2090,52,2090,1282,68,98,786,1504,3673,156,562,9877,313,6462,1981,14000,2007/3/19 18:15,2021/3/31 0:00,,,,,,,,,
BwTPj8XS_iqdSTLPBVMs1w,250,87,250,347,4,31,91,45,165,14,73,1951,166,1425,1370,2874,2006/12/22 21:43,2021/3/31 0:00,,,,,,,,,
8ZryN_S-n48g6rsa3W3QtQ,4928,105,4928,5055,136,630,1807,1936,2816,352,2520,52331,392,45720,2689,56628,2008/10/27 21:47,2021/3/31 0:00,,,,,,,,,
npD9KeIpB7PX3OwBMxZ3EQ,226,6,226,166,6,16,125,47,224,12,92,2148,134,1462,1503,3241,2009/1/25 0:43,2021/3/31 0:00,,,,,,,,,
CQUDh80m48xnzUkx-X5NAw,1572,66,1572,679,287,149,1034,180,1529,140,492,14640,575,8906,4205,21059,2008/12/29 21:03,2021/3/31 0:00,,,,,,,,,
M9puGD3VU5FuhE60HklCvg,1335,93,1335,1177,37,132,677,404,821,108,616,10904,480,9075,2392,14874,2006/11/12 23:50,2021/3/31 0:00,,,,,,,,,
G5LXEaxhQMF_BVjNHkVr7g,1833,193,1833,1313,72,126,774,140,1516,85,398,11224,664,7043,1907,12832,2004/12/7 16:42,2021/3/31 0:00,,,,,,,,,
gjhzKWsqCIrpEd9pevbKZw,2648,393,2648,1987,160,186,1240,284,2208,195,638,15711,1190,8160,3192,19635,2005/9/21 16:54,2021/3/31 0:00,,,,,,,,,
0CKo5RHHoN6AI7vSMnKV_g,5628,70,5628,3843,74,1095,1655,4813,6212,308,2674,22309,283,19791,2149,25662,2009/6/30 16:36,2021/3/31 0:00,,,,,,,,,
BgZwJBhVWKq1Urs4rKBdiA,181,5,181,84,11,20,119,21,279,11,92,3480,83,3981,1520,6035,2008/1/31 1:39,2021/3/31 0:00,,,,,,,,,
BUB_t_Rvzs1yPEzZipkWjw,1290,150,1290,1147,47,145,720,175,1484,105,493,10235,511,11257,1863,12390,2007/7/16 20:52,2021/3/31 0:00,,,,,,,,,
0KjqHIouprEuBr_8A9BJ_Q,1876,23,1876,840,47,115,664,251,1109,151,338,7496,149,6647,1283,8175,2008/8/20 20:53,2021/3/31 0:00,,,,,,,,,
LhFzr2vZDEc2KNHxuiHtIw,524,36,524,307,0,35,376,103,446,11,181,4945,296,3852,1716,9049,2009/12/11 6:58,2021/3/31 0:00,,,,,,,,,
TylOr9YYTV3znqIvH7kdmQ,132,2,132,38,3,13,97,26,102,12,53,1722,110,1444,2181,3531,2007/8/21 6:08,2021/3/31 0:00,,,,,,,,,
UVxY0iyPaqY7s4BSFtt-xA,4505,251,4505,3129,127,247,1337,981,4146,218,1382,17280,520,13320,1949,21050,2007/6/11 3:54,2021/3/31 0:00,,,,,,,,,
YttDgOC9AlM4HcAlDsbB2A,5113,142,5113,4004,154,260,2387,1014,7132,279,1869,30221,792,24357,3531,35695,2009/9/2 15:30,2021/3/31 0:00,,,,,,,,,
rGyxhmfO0lvOHswUndr0xQ,52,1,52,16,0,1,18,52,34,3,81,1852,137,1093,1169,2768,2010/7/28 8:32,2021/3/31 0:00,,,,,,,,,
T5KBc5QbwZ-Oj9ApE4vZJA,937,9,937,584,14,38,256,217,1225,30,371,4455,198,2473,1104,5640,2008/11/14 7:08,2021/3/31 0:00,,,,,,,,,
NOUfyJW-BAo_-Cbfo8edww,24495,2487,24495,25019,1390,2211,4812,12801,11124,4123,7195,36993,605,29326,2469,41337,2007/5/13 3:31,2021/3/31 0:00,,,,,,,,,
nkN_do3fJ9xekchVC-v68A,2115,249,2115,1429,45,176,880,574,1247,150,469,15036,2086,10003,1365,18424,2004/10/12 8:46,2021/3/31 0:00,,,,,,,,,
gf4tyQgQOtVMkOdvveRHVA,357,26,357,191,2,16,134,16,559,10,68,1735,64,1399,1512,2925,2008/2/5 18:06,2021/3/31 0:00,,,,,,,,,
rcU7ysY41qGppbw4pQgjqg,1410,102,1410,864,89,90,1022,248,3380,99,440,10621,1031,12544,1989,14766,2007/6/30 12:28,2021/3/31 0:00,,,,,,,,,
GmQR50bIII7gDNRYEgfXfA,339,12,339,226,1,28,129,227,228,11,188,8126,306,4365,1685,9297,2009/4/23 3:02,2021/3/31 0:00,,,,,,,,,
VHdY6oG2JPVNjihWhOooAQ,7074,963,7074,6038,152,393,2007,539,13653,388,2257,42647,2463,28023,2049,44981,2005/7/21 1:16,2021/3/31 0:00,,,,,,,,,
DEOH_z7QaXnrH7vnmDl5KA,89,3,89,26,1,20,56,33,70,3,68,1925,78,1949,1911,3864,2009/5/27 22:48,2021/3/31 0:00,,,,,,,,,
Ud6j2HN40qEhycq2PuwcBA,223,29,223,202,14,19,58,37,147,9,35,1293,72,446,1443,1610,2005/5/3 2:37,2021/3/31 0:00,,,,,,,,,
pbrmg9XPaGQbbFiuqL1_SQ,124,4,124,69,6,12,59,5,124,2,52,1059,107,750,1084,3011,2009/8/18 16:48,2021/3/31 0:00,,,,,,,,,
m2XKqIaqB2P5GGm7cqZr2A,1978,268,1978,1314,75,104,357,228,1576,123,654,10386,241,6305,1126,11347,2006/9/21 18:08,2021/3/31 0:00,,,,,,,,,
OHVhLKw_uIE7saIt_S-udw,1079,12,1079,466,4,237,662,140,1372,23,586,11479,261,9062,1871,14218,2008/9/6 16:34,2021/3/31 0:00,,,,,,,,,
syvwUKQJ4OYfmL_ixVLMeQ,1076,39,1076,711,9,75,340,185,578,65,429,11953,555,8538,4308,18558,2008/6/30 12:39,2021/3/31 0:00,,,,,,,,,
IyIsFkVY48JWa01inv-7zA,210,2,210,102,3,27,109,5,212,20,110,5399,156,2951,2750,7460,2008/3/27 14:48,2021/3/31 0:00,,,,,,,,,
P5bUL3Engv-2z6kKohB6qQ,1188,47,1188,835,34,128,507,246,1070,111,474,21051,809,10572,9906,27201,2006/5/31 21:27,2021/3/31 0:00,,,,,,,,,
c4K55UM0pZvreFSSQUjWxQ,347,20,347,237,7,28,157,41,231,13,169,3684,100,1811,1189,4755,2006/11/29 20:02,2021/3/31 0:00,,,,,,,,,
ouODopBKF3AqfCkuQEnrDg,85,10,85,58,1,15,65,5,82,20,83,2586,131,1011,2042,4251,2010/4/9 5:28,2021/3/31 0:00,,,,,,,,,
YMgZqBUAddmFErxLtCfK_w,179,2,179,102,13,14,70,62,122,9,113,3970,182,2351,1930,6233,2009/3/16 23:41,2021/3/31 0:00,,,,,,,,,
