,user_id,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,fans,funny,review_count,useful,yelping_since,now_date,acceptance,activation,frequency,subscribe,registeration,W1,W2,Wi,Wj
0,q_QQ5kBBwlCcbL1s4NVK3g,2541,361,2541,1710,147,163,1212,323,5691,190,815,11291,1357,10030,1220,15038,2005/3/14 20:26,2021/3/31 0:00,12.326229508196722,76.03988048274279,0.4316400341043483,18858.0,16.044212487641644,0.2018173179000372,0.14862113883383546,0.24754359942303425,0.10289836173044993
1,dIIKEfOgo0KqUfGQvGikPg,2205,232,2205,1632,96,87,1187,294,3293,94,472,18046,1025,10289,2136,21272,2007/8/10 19:01,2021/3/31 0:00,9.958801498127341,156.62346494233395,0.23780918015602637,25316.0,13.63780325500038,0.17315795203809267,0.13126358223288975,0.20916958567353855,0.09525499284322904
2,QJI9OSEn6ujRCtrX06vs1w,2090,52,2090,1282,68,98,786,1504,3673,156,562,9877,313,6462,1981,14000,2007/3/19 18:15,2021/3/31 0:00,7.067137809187279,141.17588811905136,0.40742938132436796,15326.0,14.032141227469769,0.16747009559832476,0.11791035415955337,0.2100703687092501,0.0753129348816639
3,BwTPj8XS_iqdSTLPBVMs1w,250,87,250,347,4,31,91,45,165,14,73,1951,166,1425,1370,2874,2006/12/22 21:43,2021/3/31 0:00,2.0978102189781023,96.00601805336066,0.21712,3208.0,14.269938778614343,0.13219328737876282,0.08124710863035489,0.175984906553383,0.03745762388103907
4,8ZryN_S-n48g6rsa3W3QtQ,4928,105,4928,5055,136,630,1807,1936,2816,352,2520,52331,392,45720,2689,56628,2008/10/27 21:47,2021/3/31 0:00,21.059129788025288,216.4728358669504,0.16300208819555337,77535.5,12.4218818921591,0.2029194920035152,0.17588641290731613,0.22615754397267784,0.15265214903508353
5,npD9KeIpB7PX3OwBMxZ3EQ,226,6,226,166,6,16,125,47,224,12,92,2148,134,1462,1503,3241,2009/1/25 0:43,2021/3/31 0:00,2.1563539587491682,123.42051157230428,0.16727485038680484,3492.5,12.177878545897027,0.11332369913619428,0.07136622541291579,0.1493889747880912,0.03530279667873352
6,CQUDh80m48xnzUkx-X5NAw,1572,66,1572,679,287,149,1034,180,1529,140,492,14640,575,8906,4205,21059,2008/12/29 21:03,2021/3/31 0:00,5.008085612366231,343.27985140476795,0.17262638717632553,22590.0,12.249480949121605,0.16835354242072714,0.1278007243073054,0.20321201017678,0.09294521812353553
7,M9puGD3VU5FuhE60HklCvg,1335,93,1335,1177,37,132,677,404,821,108,616,10904,480,9075,2392,14874,2006/11/12 23:50,2021/3/31 0:00,6.218227424749164,166.35126519095215,0.19324018018534989,17666.5,14.379211346870484,0.16038032797715676,0.11228584426087504,0.20172108202772418,0.07094781689929688
8,G5LXEaxhQMF_BVjNHkVr7g,1833,193,1833,1313,72,126,774,140,1516,85,398,11224,664,7043,1907,12832,2004/12/7 16:42,2021/3/31 0:00,6.7288935500786575,116.92062894779727,0.2663429692273063,15881.5,16.310209901893682,0.17837123413712677,0.12223506667380984,0.22662431990565174,0.07398498699835389
9,gjhzKWsqCIrpEd9pevbKZw,2648,393,2648,1987,160,186,1240,284,2208,195,638,15711,1190,8160,3192,19635,2005/9/21 16:54,2021/3/31 0:00,6.151315789473684,205.64776195750352,0.28931641612651127,22348.0,15.52168605977641,0.19689468643937585,0.14509668008668627,0.24141913284689565,0.1005756536270312
